,Country,Sustainable Competitiveness Rank ,Sustainable Competitiveness Score,Natural capital Rank ,Natural capital Score,Resource Intensity Rank ,Resource Intensity Score,Social Capital Rank ,Social Capital Score,Intellectual Capital Rank ,Intellectual Capital Score,Governance Rank ,Governance Score,,
,Guatemala,151,39.1,132,38.2,44,53.6,170,32.7,159,24.7,126,46.4,,
,Mali,152,39.0,96,42.9,47,53.5,112,40.5,177,16.9,151,41.5,,
,Guinea-Bissau,153,38.9,80,45.7,23,56.7,161,33.7,172,18.6,158,40.0,,
,Madagascar,154,38.8,60,50.6,28,55.1,175,32.1,173,17.8,162,38.6,,
,Zambia,155,38.7,68,48.8,123,42.9,155,34.5,163,22.2,134,45.0,,
,Zimbabwe,156,38.6,144,36.1,53,52.1,163,33.5,128,32.2,160,39.1,,
,Trinidad and Tobago,157,38.6,128,38.6,173,26.5,94,42.6,118,34.8,101,50.4,,
,Gambia,158,38.1,153,34.0,56,51.4,134,37.7,166,20.4,124,47.3,,
,Comoros,159,38.1,171,29.5,46,53.5,162,33.6,141,29.7,137,44.2,,
,Mauritania,160,37.8,158,33.3,54,51.7,150,35.6,153,26.3,147,42.1,,
,Bahamas,161,37.7,150,34.2,152,35.0,143,36.5,142,29.2,80,53.6,,
,Uganda,162,37.6,130,38.5,25,56.2,140,37.2,182,12.7,143,43.3,,
,West Bank and Gaza,163,37.6,181,22.4,118,43.2,137,37.4,84,40.0,135,44.9,,
,Djibouti,164,37.6,169,30.5,27,55.4,165,33.2,145,28.3,157,40.4,,
,Central African Republic,165,37.5,57,51.0,22,56.9,181,26.2,181,14.6,161,38.7,,
,Bahrain,166,37.2,177,27.8,176,25.8,93,42.7,92,39.3,103,50.4,,
,Liberia,167,37.1,88,44.4,94,47.6,135,37.5,161,22.8,177,33.1,,
,Mozambique,168,36.8,67,48.9,131,41.3,136,37.4,170,19.4,169,36.9,,
,Haiti,169,36.7,170,30.0,69,50.3,160,33.8,148,27.3,149,42.0,,
,Pakistan,170,36.7,176,28.2,125,42.0,132,37.7,149,27.0,119,48.4,,
,Chad,171,36.6,98,42.7,31,54.7,152,35.0,176,17.0,175,33.7,,
,Sudan,172,36.3,94,43.2,122,42.9,173,32.2,155,26.0,168,37.0,,
,Yemen,173,36.2,167,31.2,6,61.3,179,30.4,144,28.4,181,29.9,,
,Burundi,174,36.0,173,28.9,15,58.7,154,34.6,169,19.7,164,38.4,,
,Lebanon,175,35.7,179,26.4,158,32.9,72,46.2,127,32.3,155,40.8,,
,Syria,176,35.4,160,33.0,129,41.5,156,34.3,133,31.0,167,37.3,,
,Libya,177,35.4,107,40.9,174,26.2,96,42.3,131,31.5,172,36.1,,
,South Sudan,178,35.0,122,39.5,50,52.9,151,35.3,180,15.8,180,31.4,,
,Eritrea,179,34.5,147,34.8,39,54.1,169,32.7,179,16.2,174,34.6,,
,Somalia,180,32.7,180,22.6,21,57.2,174,32.1,168,19.9,179,31.5,,
,Average,,45.4,,45.4,,46.0,,44.5,,39.8,,51.4,,
,Max,,61.2,,69.2,,63.8,,64.1,,77.8,,73.2,,
,Min,,34.5,,22.4,,21.8,,26.2,,12.7,,29.9,,
